




Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Date,Origin,
"Brabo","Ryugu",0.14,4.5,229.7,"Planetocentric  +East  0 - 360","Approved","2018-12-19 00:00:00.0","A brave young fellow, who defeated a giant, from Dutch fairy tale.",
"Catafo Saxum","Ryugu",0.05,-5.5,0,"Planetocentric  +East  0 - 360","Approved","2018-12-19 00:00:00.0","Smart boy, who marked a trail in the woods with corn meal to know the way back, from Cajun (Southern USA) fairy tale.",
"Cendrillon","Ryugu",0.22,31.9,350.5,"Planetocentric  +East  0 - 360","Approved","2018-12-19 00:00:00.0","Protagonist of a fairy tale Cendrillon by French writer Charles Perrault (1697), also known as Cinderella.",
"Ejima Saxum","Ryugu",0.07,-32,101.1,"Planetocentric  +East  0 - 360","Approved","2018-12-19 00:00:00.0","Seacoast in Japanese fairy tale where fisherman Urashima Taro rescued a turtle and started his journey to the undersea Ryugu Palace.",
"Horai Fossa","Ryugu",0.33,32.1,296.6,"Planetocentric  +East  0 - 360","Approved","2018-12-19 00:00:00.0","Mythical Mount Horai (Penglai in Chinese), paradise of the immortals; in some versions of the Japanese fairy tale about fisherman Urashima is located in the sea on the shell of tortoise that princess Otohime has turned into.",
"Kibidango","Ryugu",0.13,-31.2,50,"Planetocentric  +East  0 - 360","Approved","2018-12-19 00:00:00.0","Japanese ball-like dumplings made from the flour of the kibi (proso millet) grain that the fairy tale hero Momotaro brought on his distant journey because this sweet keeps its softness for a long time.",
"Kintaro","Ryugu",0.17,0.4,157.8,"Planetocentric  +East  0 - 360","Approved","2018-12-19 00:00:00.0","‘Golden Boy’ in Japanese fairy tale, who grew up in the wild forests of Mount Ashigara and had a superhuman strength.",
"Kolobok","Ryugu",0.18,-1.5,333.5,"Planetocentric  +East  0 - 360","Approved","2018-12-19 00:00:00.0","Small ball-like bun, which ran away from home and rolled on the road, singing his tricky song; protagonist of a Russian fairy tale.",
"Momotaro","Ryugu",0.19,-12.5,51.9,"Planetocentric  +East  0 - 360","Approved","2018-12-19 00:00:00.0","‘Peach Boy’ in Japanese fairy tale, who came to Earth inside a giant peach and once undertook a journey to fight horned ogres in a distant island.",
"Otohime Saxum","Ryugu",0.16,-69.8,274.4,"Planetocentric  +East  0 - 360","Approved","2018-12-19 00:00:00.0","Otohime Sama; princess in Japanese fairy tale, sea mistress, who welcomed fisherman Urashima Taro in undersea Ryugu Palace and gave him a parting gift, a jewel box whose lid he was told never to open.",
"Ryujin Dorsum","Ryugu",3.2,0,180,"Planetocentric  +East  0 - 360","Approved","2018-12-18 00:00:00.0","‘Dragon god’, sea ruler in Japanese fairy tale, father of princess Otohime, master of the undersea Ryugu Palace where fisherman Urashima Taro was a guest.",
"Tokoyo Fossa","Ryugu",0.56,-50.5,166.2,"Planetocentric  +East  0 - 360","Approved","2018-12-19 00:00:00.0","Immortal world of Japanese mythology, eternal, timeless land across the sea or undersea kingdom, where the princess Otohime lives in the fairy tale about the fisherman Urashima.",
"Urashima","Ryugu",0.29,-8.1,92.9,"Planetocentric  +East  0 - 360","Approved","2018-12-19 00:00:00.0","Urashima Taro; fisherman in Japanese fairy tale who rescued a turtle and traveled on its back to the dragon Ryujin’s undersea Ryugu Palace, where he was welcomed by princess Otohime.",

