




Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Date,Origin,
"Acastus","Phoebe",34,9.6,148.5,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of the Thessalian king Pelias, took part in the Calydonian boar hunt.",
"Admetus","Phoebe",58,11.4,39.1,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, founder and king of Pherae in Thessaly.",
"Amphion","Phoebe",18,-27,1.8,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Hyperasius and Hypso.",
"Butes","Phoebe",29,-49.6,292.5,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Teleon, bee-master.",
"Calais","Phoebe",31,-38.7,225.4,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Boreas, the north wind.",
"Canthus","Phoebe",44,-69.6,342.2,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Kanethos or Cerion, the only member of the expedition to die in combat.",
"Clytius","Phoebe",52,46,193.1,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Eurytus, skilled archer who was killed by Apollo for challenging the god to a shooting match.",
"Erginus","Phoebe",38,31.6,337.1,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Neptune, helmsman of the Argo after the death of Tiphys.",
"Euphemus","Phoebe",23,-31.3,331.1,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Neptune and Europa.",
"Eurydamas","Phoebe",19,-61.5,281.6,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Ctimenus.",
"Eurytion","Phoebe",14,-30.4,8,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Kenethos or Cerion.",
"Eurytus","Phoebe",89,-39.7,177.2,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Mercury and Antianira.",
"Hylas","Phoebe",30,7.9,354.5,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Theiodamas/Theodamas, king of the Dryopes.",
"Idmon","Phoebe",61,-67.1,197.8,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Apollo and the nymph Cyrene, or of Abas, a prophet.",
"Iphitus","Phoebe",22,-27.2,293.3,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Eurytus, Jason's host during his consultation with the Oracle at Delphi.",
"Jason","Phoebe",101,16.2,317.7,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","The leading argonaut, son of the Thessalian king Aeson, delivered the Fleece.",
"Leto Regio","Phoebe",95,60,20,"Planetographic  +West  0 - 360","Approved","2000-01-01 00:00:00.0","Daughter of Phoebe in Greek mythology.",
"Mopsus","Phoebe",37,6.6,109.1,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, prophesying son of Apollo.",
"Nauplius","Phoebe",24,31.5,241.5,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Neptune and Amymone, or of Klytoneos.",
"Oileus","Phoebe",56,-77.1,96.9,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, king of the Locrians, renowned for his courage in battle.",
"Peleus","Phoebe",44,20.2,192.2,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Aeacus, father of Achilles.",
"Phlias","Phoebe",14,1.6,359.1,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Dionysus.",
"Talaus","Phoebe",15,-52.3,325.2,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Teleon, or of Bias and Pero.",
"Telamon","Phoebe",28,-48.1,92.6,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Aeacus, took part in the Calydonian boar hunt.",
"Zetes","Phoebe",29,-20,223,"Planetographic  +West  0 - 360","Approved","2006-01-01 00:00:00.0","Argonaut, son of Boreas, the north wind.",

