




Feature_Name,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Date,Origin,
"Agate","Steins",0.5,57.6,1.8,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Banded gemstone, variety of the mineral chalcedony.",
"Alexandrite","Steins",0.31,-7,20.7,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Gemstone notable for its color change, appearing green in daylight, but red under incandescent light; a variety of chrysoberyl.",
"Almandine","Steins",0.52,29.5,53.8,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Red to violet-red gemstone, a variety of the mineral garnet.",
"Amazonite","Steins",0.47,9.6,75.6,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Light bluish-green gemstone, a variety of the mineral orthoclase.",
"Amethyst","Steins",0.45,28.9,343.2,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Violet gemstone, a variety of the mineral quartz.",
"Aquamarine","Steins",0.37,7.2,120.3,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Blue-green and light blue gemstone, a variety of the mineral beryl.",
"Chernykh Regio","Steins",7.5,-20,60,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Nikolai Stepanovich; Soviet and Ukrainian astronomer, discovered asteroid (2867) Steins (1931-2004).",
"Chrysoberyl","Steins",1.55,-2,29.6,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Yellow or brownish-green gemstone, the third hardest gemstone after diamond and sapphire.",
"Citrine","Steins",0.61,13.7,340.6,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Yellow gemstone, a variety of the mineral quartz.",
"Diamond","Steins",2.1,-54.6,13.4,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Rare and precious gemstone, the hardest natural substance.",
"Emerald","Steins",0.52,-3.9,139.3,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Green gemstone, a variety of the mineral beryl.",
"Garnet","Steins",0.39,-8.6,338.3,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Group of related minerals found in a variety of colors and often cut as gemstones.",
"Jade","Steins",0.26,-18,335.3,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Semitransparent to translucent gemstone, a variety of the minerals nephrite and jadeite.",
"Lapis","Steins",0.44,-31.5,329.7,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Lapis Lazuli; gemstone formed from a rock containing a number of minerals, the quality and value determined by the color and abundance of the blue mineral lazurite.",
"Malachite","Steins",0.47,11.8,49.9,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Translucent to opaque gemstone, usually banded or rich green and often found with azurite.",
"Obsidian","Steins",0.51,-10.6,43.6,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Volcanic glass used as a gemstone.",
"Onyx","Steins",1,10.9,8.9,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Gemstone variety of the mineral chalcedony.",
"Opal","Steins",0.4,1.1,337.8,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Non-crystalline gemstone noted for its rich play of colors when turned in the light.",
"Peridot","Steins",0.27,-25.1,336,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Green gemstone, a variety of the mineral olivine.",
"Sapphire","Steins",0.6,-31.3,31.3,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","All colors of gemstones of the mineral corundum (except red, which is the gemstone ruby) are called sapphires.",
"Topaz","Steins",0.65,-7.7,0,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Gemstone that occurs in a wide variety of colors.",
"Tourmaline","Steins",0.22,-20.9,347.6,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Gemstone noted for its beautiful, multi-colored prismatic crystals.",
"Turquoise","Steins",0.47,-31.6,113.4,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Opaque blue-to-green mineral of arid climates that has been used as a gemstone for thousands of years.",
"Zircon","Steins",1.77,-13.5,335,"Planetocentric  +East  0 - 360","Approved","2012-05-09 00:00:00.0","Gemstone that is colorless in its pure form, but also found in yellows, browns, and reds.",

