




Feature_Name	Target	Diameter	Center_Latitude	Center_Longitude	Coordinate_System	Approval_Status	Approval_Date	Origin	 
Adlivun Cavus	Pluto	21.4	-15.4	188.86	Planetocentric  +East  0 - 360	Approved	2017-08-08 00:00:00.0	Underworld in Inuit myths.	
Alcyonia Lacus	Pluto	30	36.44	151.95	Planetocentric  +East  0 - 360	Approved	2019-05-30 00:00:00.0	A bottomless lake, one of the entrances to the underworld in Greek mythology.	
Al-Idrisi Montes	Pluto	383	33.99	156.01	Planetocentric  +East  0 - 360	Approved	2017-08-08 00:00:00.0	Ash-Sharīf al-Idrīsī; Arabian mapmaker and geographer (1100–1165/66).	
Baret Montes	Pluto	170.39	14.6	157.8	Planetocentric  +East  0 - 360	Approved	2018-04-26 00:00:00.0	Jeanne Baret (Baré); first woman to have completed circumnavigation voyage of the globe (1740-1807).	
Burney	Pluto	296	45.68	133.79	Planetocentric  +East  0 - 360	Approved	2017-08-08 00:00:00.0	Venetia; British schoolgirl, who suggested in 1930 the name “Pluto” for Tombaugh’s newly discovered planet (1918–2009).	
Coughlin	Pluto	45	15.24	150.54	Planetocentric  +East  0 - 360	Approved	2020-01-03 00:00:00.0	Thomas Boyd; American mechanical/space engineer, first project manager of the New Horizons mission to Pluto and the Kuiper Belt (1941–2014).	
Djanggawul Fossae	Pluto	585	41	84.31	Planetocentric  +East  0 - 360	Approved	2017-08-08 00:00:00.0	Ancestral beings in Yolngu (Australia) myth who traveled between the island of the dead and Australia.	
Elcano Montes	Pluto	488	-26.04	143.7	Planetocentric  +East  0 - 360	Approved	2019-05-30 00:00:00.0	Juan Sebastián; Spanish explorer of Basque origin, who completed in 1522 the first circumnavigation of the Earth which started in 1519 under the leadership of Magellan (c.1476–1526).	
Elliot	Pluto	96	12.04	138.86	Planetocentric  +East  0 - 360	Approved	2017-08-08 00:00:00.0	James; American astronomer, discoverer of the atmosphere of Pluto (1943–2011).	
Hardie	Pluto	25	23.82	141.58	Planetocentric  +East  0 - 360	Approved	2020-01-03 00:00:00.0	Robert H.; American astronomer, co-discoverer (1955) of Pluto’s 6.4-day rotation period (1923–1989).	
Hayabusa Terra	Pluto	1115	46.07	229.88	Planetocentric  +East  0 - 360	Approved	2017-08-08 00:00:00.0	Japanese Hayabusa (literally Peregrine Falcon) spacecraft that performed the first asteroid sample return (2003–2010).	
Hekla Cavus	Pluto	98.41	6.86	154.66	Planetocentric  +East  0 - 360	Approved	2018-05-30 00:00:00.0	An Icelandic volcano believed to be the entrance to Hell in medieval European times.	
Hermod Fossae	Pluto	592	-8.63	119.34	Planetocentric  +East  0 - 360	Approved	2019-09-25 00:00:00.0	Son of Odin, who rode the horse Sleipnir into the underworld to retrieve his brother, Balder.	
Hillary Montes	Pluto	388	3.26	169.58	Planetocentric  +East  0 - 360	Approved	2017-08-08 00:00:00.0	Edmund; New Zealand mountaineer (1919–2008).	
Hunahpu Valles	Pluto	295	49.09	154.41	Planetocentric  +East  0 - 360	Approved	2019-05-30 00:00:00.0	One of the Hero Twins (with Xbalanque) in Mayan mythology, who defeated the lords of the Underworld in a ball game.	
Hyecho Palus	Pluto	322.56	-17.43	167.44	Planetocentric  +East  0 - 360	Approved	2020-01-03 00:00:00.0	Korean traveler and scholar, who crossed the Asian continent from China to Arabia and back (724-727), and documented the journey in his journals (704–787).	
Kaknú Fossa	Pluto	249	-30.45	122.07	Planetocentric  +East  0 - 360	Approved	2019-08-12 00:00:00.0	Epic hero of the Chochenyo/Ohlone (N. California) mythology, an anthropomorphic being resembling a peregrine falcon, who traveled to the underworld to battle Wiwe (“Body of Stone”), the lord of the underworld.	
Khare	Pluto	58	27.85	94.56	Planetocentric  +East  0 - 360	Approved	2019-05-30 00:00:00.0	Bishun; Indian-born American atmosphere chemistry scientist, investigated, in particular, tholins, the organic molecules that probably account for the darkest regions on Pluto (1933–2013).	
Kiladze	Pluto	44.42	28.39	212.92	Planetocentric  +East  0 - 360	Approved	2019-05-30 00:00:00.0	Rolan; Georgian (Caucasus) astronomer. Investigated the dynamics, astrometry and photometry of Pluto (1931–2010).	
Lowell Regio	Pluto	1215	86	338	Planetocentric  +East  0 - 360	Approved	2019-05-30 00:00:00.0	Percival; American astronomer who in 1906-1916 undertook extensive searches of transneptunian planets (1855-1916).	
Mwindo Fossae	Pluto	406	34.74	245.78	Planetocentric  +East  0 - 360	Approved	2019-05-30 00:00:00.0	Nyanga (Eastern Dem. Rep. Congo/Zaire) epic hero who travelled to the underworld and after returning home became a wise and powerful king.	
Piccard Mons	Pluto	257	-35.26	176.79	Planetocentric  +East  0 - 360	Approved	2019-05-30 00:00:00.0	Auguste; Swiss-Belgian inventor and physicist known for his pioneering balloon flights into the Earth’s upper atmosphere up to 17 km (1884–1962).	
Pigafetta Montes	Pluto	234	-6.83	146.44	Planetocentric  +East  0 - 360	Approved	2019-05-30 00:00:00.0	Antonio; Italian scholar and explorer, whose journal is the only original description of the discoveries made during the first circumnavigation of the Earth which started in Spain in 1519 under the leadership of Magellan (c.1491 – c.1531).	
Piri Rupes	Pluto	549	27.13	108.9	Planetocentric  +East  0 - 360	Approved	2019-05-30 00:00:00.0	Ahmed Muhiddin, also known as Piri Reis, Ottoman navigator and cartographer (c. 1470–1553). Author of one of the earliest existing world maps in 1513. His “Book of the Sea” (1521), containing 290 maps, was one of the most famous cartographical works of that period.	
