




Feature_Name	Target	Diameter	Center_Latitude	Center_Longitude	Coordinate_System	Approval_Status	Approval_Date	Origin	 
Abans	Ariel	20	-15.5	251.3	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Spirit of the iron mines.	
Agape	Ariel	34	-46.9	336.5	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Spirit in Spenser's "Fairy Queene."	
Ataksak	Ariel	22	-53.1	224.3	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Eskimo benevolent spirit.	
Befana	Ariel	21	-17	31.9	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Good spirit who fills Italian children's stockings with toys on twelfth night.	
Berylune	Ariel	29	-22.5	327.9	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Good spirit in Maeterlinck's "The Bluebird."	
Brownie Chasma	Ariel	343	-16	337.6	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	German good spirits who live in woods.	
Deive	Ariel	20	-22.3	23	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Spirit of beautiful maiden.	
Djadek	Ariel	22	-12	251.1	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Czech ancestral benevolent spirit and household guardian.	
Domovoy	Ariel	71	-71.5	339.7	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Slavic spirit protector of home.	
Finvara	Ariel	31	-15.8	19	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Irish king of spirits; provided horses and wine to men.	
Gwyn	Ariel	34	-77.5	22.5	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Irish god of battle; leads mens' souls to Annwn.	
Huon	Ariel	40	-37.8	33.7	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Replaced Oberon as King of Spirits when Oberon died.	
Kachina Chasmata	Ariel	622	-33.7	246	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Pueblo (USA) good spirits who bring rain or other blessings.	
Kewpie Chasma	Ariel	467	-28.3	326.9	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	British race of quaint spirit babies.	
Korrigan Chasma	Ariel	365	-27.6	347.5	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	French wind spirits who cure diseases.	
Kra Chasma	Ariel	142	-32.1	354.2	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Vital spirits (Gold Coast).	
Laica	Ariel	30	-21.3	44.4	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Inca good spirit.	
Leprechaun Vallis	Ariel	328	-10.4	10.2	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Spirits or dwarfs.	
Mab	Ariel	34	-38.8	352.2	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Queen of Spirits, dethroned Titania.	
Melusine	Ariel	50	-52.9	8.9	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Spirit heroine of medieval French story.	
Oonagh	Ariel	39	-21.9	244.4	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Irish Queen of Fairies.	
Pixie Chasma	Ariel	278	-20.4	5.1	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	British spirits that live in rocks.	
Rima	Ariel	41	-18.3	260.8	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Spirit in Hudson's "Green Mansions."	
Sprite Vallis	Ariel	305	-14.9	340	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Earth spirits.	
Sylph Chasma	Ariel	349	-48.6	353	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	British air spirits who influence the temperaments man.	
Yangoor	Ariel	78	-68.7	279.7	Planetocentric  +East  0 - 360	Approved	1988-01-01 00:00:00.0	Spirit that brings day.	

